name,domain,type
elpais,elpais.com,national
elmundo,elmundo.es,national
abc,abc.es,national
lavanguardia,lavanguardia.com,national
elconfidencial,elconfidencial.com,digital
eldiario,eldiario.es,digital
20minutos,20minutos.es,digital
publico,publico.es,digital
europapress,europapress.es,wire
elespanol,elespanol.com,digital
larazon,larazon.es,national
elperiodico,elperiodico.com,national
europapress,europapress.es,wire
20minutos,20minutos.es,digital
eldiario,eldiario.es,digital
publico,publico.es,digital
