window_start_month,window_end_month,variant,strategy,k_selected,subspace_path
2020-03,2020-05,baseline,penultimate,76,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-03_baseline_penultimate_raw.npz
2020-03,2020-05,baseline,last4_concat,146,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-03_baseline_last4_concat_raw.npz
2020-03,2020-05,dapt,penultimate,54,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-03_dapt_penultimate_raw.npz
2020-03,2020-05,dapt,last4_concat,96,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-03_dapt_last4_concat_raw.npz
2020-04,2020-06,baseline,penultimate,77,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-04_baseline_penultimate_raw.npz
2020-04,2020-06,baseline,last4_concat,147,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-04_baseline_last4_concat_raw.npz
2020-04,2020-06,dapt,penultimate,54,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-04_dapt_penultimate_raw.npz
2020-04,2020-06,dapt,last4_concat,96,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-04_dapt_last4_concat_raw.npz
2020-05,2020-07,baseline,penultimate,69,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-05_baseline_penultimate_raw.npz
2020-05,2020-07,baseline,last4_concat,123,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-05_baseline_last4_concat_raw.npz
2020-05,2020-07,dapt,penultimate,50,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-05_dapt_penultimate_raw.npz
2020-05,2020-07,dapt,last4_concat,82,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-05_dapt_last4_concat_raw.npz
2020-06,2020-08,baseline,penultimate,63,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-06_baseline_penultimate_raw.npz
2020-06,2020-08,baseline,last4_concat,109,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-06_baseline_last4_concat_raw.npz
2020-06,2020-08,dapt,penultimate,46,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-06_dapt_penultimate_raw.npz
2020-06,2020-08,dapt,last4_concat,76,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-06_dapt_last4_concat_raw.npz
2020-07,2020-09,baseline,penultimate,63,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-07_baseline_penultimate_raw.npz
2020-07,2020-09,baseline,last4_concat,105,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-07_baseline_last4_concat_raw.npz
2020-07,2020-09,dapt,penultimate,45,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-07_dapt_penultimate_raw.npz
2020-07,2020-09,dapt,last4_concat,74,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-07_dapt_last4_concat_raw.npz
2020-08,2020-10,baseline,penultimate,59,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-08_baseline_penultimate_raw.npz
2020-08,2020-10,baseline,last4_concat,99,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-08_baseline_last4_concat_raw.npz
2020-08,2020-10,dapt,penultimate,45,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-08_dapt_penultimate_raw.npz
2020-08,2020-10,dapt,last4_concat,70,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-08_dapt_last4_concat_raw.npz
2020-09,2020-11,baseline,penultimate,59,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-09_baseline_penultimate_raw.npz
2020-09,2020-11,baseline,last4_concat,97,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-09_baseline_last4_concat_raw.npz
2020-09,2020-11,dapt,penultimate,45,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-09_dapt_penultimate_raw.npz
2020-09,2020-11,dapt,last4_concat,70,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-09_dapt_last4_concat_raw.npz
2020-10,2020-12,baseline,penultimate,60,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-10_baseline_penultimate_raw.npz
2020-10,2020-12,baseline,last4_concat,101,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-10_baseline_last4_concat_raw.npz
2020-10,2020-12,dapt,penultimate,47,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-10_dapt_penultimate_raw.npz
2020-10,2020-12,dapt,last4_concat,71,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-10_dapt_last4_concat_raw.npz
2020-11,2021-01,baseline,penultimate,67,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-11_baseline_penultimate_raw.npz
2020-11,2021-01,baseline,last4_concat,113,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-11_baseline_last4_concat_raw.npz
2020-11,2021-01,dapt,penultimate,48,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-11_dapt_penultimate_raw.npz
2020-11,2021-01,dapt,last4_concat,79,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-11_dapt_last4_concat_raw.npz
2020-12,2021-02,baseline,penultimate,66,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-12_baseline_penultimate_raw.npz
2020-12,2021-02,baseline,last4_concat,115,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-12_baseline_last4_concat_raw.npz
2020-12,2021-02,dapt,penultimate,47,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-12_dapt_penultimate_raw.npz
2020-12,2021-02,dapt,last4_concat,78,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2020-12_dapt_last4_concat_raw.npz
2021-01,2021-03,baseline,penultimate,67,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2021-01_baseline_penultimate_raw.npz
2021-01,2021-03,baseline,last4_concat,117,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2021-01_baseline_last4_concat_raw.npz
2021-01,2021-03,dapt,penultimate,47,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2021-01_dapt_penultimate_raw.npz
2021-01,2021-03,dapt,last4_concat,79,results\phase3\mh_strict_covidOK_2020-03_2021-03_w3_FINAL_CLEANED\artifacts\subspaces\window_2021-01_dapt_last4_concat_raw.npz
